epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,9643.45,1.01607,1.45274,1.73013,0.94069,0,0.60535,0.48851,0.49479,0.31493,0.61597,0.4751,0.4822,0.30586,0.57746,0.88477,3.05206,0.56973,0,8.93568e-05,8.93568e-05,8.93568e-05
56,9813.36,1.0378,1.53739,1.76341,0.94385,0,0.53149,0.53635,0.48379,0.31191,0.52786,0.52706,0.47808,0.29409,0.59827,0.90985,2.74725,0.57628,0,8.7456e-05,8.7456e-05,8.7456e-05
57,9989.13,1.04191,1.51654,1.73854,0.9461,0,0.55896,0.51852,0.50909,0.33376,0.55838,0.53169,0.50165,0.31026,0.59459,0.91531,2.78067,0.58271,0,8.55552e-05,8.55552e-05,8.55552e-05
58,10164.8,1.02999,1.51789,1.70456,0.9583,0,0.59838,0.48703,0.50618,0.33055,0.64005,0.48974,0.50657,0.30556,0.58994,0.91144,2.47665,0.56624,0,8.36544e-05,8.36544e-05,8.36544e-05
59,10340.3,1.06836,1.56919,1.70434,0.96646,0,0.59487,0.53406,0.49725,0.32089,0.63483,0.52515,0.50238,0.30036,0.59205,0.91717,2.40863,0.56091,0,8.17536e-05,8.17536e-05,8.17536e-05
60,10517.2,1.02362,1.52896,1.66247,0.939,0,0.67944,0.49175,0.50703,0.32521,0.44228,0.60878,0.50523,0.29559,0.57893,0.87754,2.46674,0.55777,0,7.98528e-05,7.98528e-05,7.98528e-05
61,10692.3,1.02289,1.54181,1.70515,0.93493,0,0.58597,0.52235,0.51867,0.33749,0.58752,0.50652,0.51154,0.30869,0.58397,0.89983,2.44579,0.55631,0,7.7952e-05,7.7952e-05,7.7952e-05
62,10868,1.0164,1.46552,1.61279,0.90506,0,0.64681,0.542,0.50632,0.32042,0.64583,0.5315,0.49877,0.3027,0.59475,0.88599,2.40314,0.56784,0,7.60512e-05,7.60512e-05,7.60512e-05
63,11045.8,0.97701,1.46469,1.57873,0.91316,0,0.51509,0.57963,0.51234,0.32114,0.52123,0.56817,0.50664,0.28972,0.59143,0.882,2.50292,0.5672,0,7.41504e-05,7.41504e-05,7.41504e-05
64,11216.2,0.99007,1.49478,1.5588,0.91282,0,0.6626,0.54444,0.52541,0.33505,0.64866,0.52306,0.50989,0.30454,0.57609,0.87243,2.23008,0.54801,0,7.22496e-05,7.22496e-05,7.22496e-05
65,11393.1,0.99621,1.43577,1.58651,0.91746,0,0.66417,0.51311,0.4955,0.31211,0.64953,0.49209,0.50226,0.29991,0.60483,0.88675,2.27714,0.57763,0,7.03488e-05,7.03488e-05,7.03488e-05
66,16171,1.02934,1.4914,1.58216,0.94793,0,0.63222,0.56413,0.55625,0.34876,0.51964,0.58604,0.54042,0.32474,0.61566,0.91002,2.37536,0.58261,0,6.8448e-05,6.8448e-05,6.8448e-05
67,16444.7,0.94284,1.39309,1.5197,0.89728,0,0.47378,0.59866,0.53473,0.33813,0.47355,0.59377,0.5194,0.31337,0.60769,0.87305,2.37827,0.57694,0,6.65472e-05,6.65472e-05,6.65472e-05
68,16752.2,0.97639,1.43181,1.46171,0.91337,0,0.6335,0.53522,0.54704,0.35014,0.59323,0.52166,0.5208,0.3231,0.59523,0.87601,2.42262,0.57604,0,6.46464e-05,6.46464e-05,6.46464e-05
69,17056.2,1.00077,1.4901,1.50566,0.92892,0,0.53385,0.55581,0.49769,0.32232,0.53504,0.53398,0.48228,0.29986,0.6008,0.87819,2.52925,0.58639,0,6.27456e-05,6.27456e-05,6.27456e-05
70,17355.2,0.95313,1.38772,1.44197,0.88864,0,0.59989,0.55612,0.51348,0.33691,0.60199,0.5362,0.48305,0.30236,0.5823,0.8784,2.46493,0.57539,0,6.08448e-05,6.08448e-05,6.08448e-05
71,17600.8,0.95345,1.37751,1.44888,0.89485,0,0.61557,0.57573,0.53749,0.35309,0.61132,0.56408,0.51763,0.31191,0.58927,0.88238,1.99656,0.56966,0,5.8944e-05,5.8944e-05,5.8944e-05
72,17934.7,0.94977,1.41381,1.42966,0.88636,0,0.60802,0.58343,0.54788,0.36459,0.60102,0.56838,0.54297,0.33051,0.57384,0.86866,2.07615,0.56288,0,5.70432e-05,5.70432e-05,5.70432e-05
73,18271.8,0.96386,1.41049,1.48683,0.88758,0,0.51566,0.61715,0.54792,0.36433,0.48355,0.58827,0.52422,0.32195,0.59118,0.90531,2.09428,0.57417,0,5.51424e-05,5.51424e-05,5.51424e-05
74,18621.4,0.97532,1.44545,1.41961,0.91925,0,0.64292,0.60519,0.58513,0.37814,0.63172,0.55285,0.55385,0.3459,0.59346,0.87347,2.01699,0.57011,0,5.32416e-05,5.32416e-05,5.32416e-05
75,18830.5,0.94122,1.38813,1.44202,0.91003,0,0.51615,0.61812,0.5793,0.37675,0.50724,0.61603,0.56067,0.34479,0.58882,0.8749,2.03888,0.56728,0,5.13408e-05,5.13408e-05,5.13408e-05
76,19000.4,0.9557,1.38846,1.42645,0.89133,0,0.5606,0.63615,0.58334,0.38871,0.54789,0.61326,0.56942,0.35838,0.58853,0.87051,1.86143,0.56297,0,4.944e-05,4.944e-05,4.944e-05
77,19174.7,0.93223,1.37602,1.39657,0.89833,0,0.48873,0.62755,0.54481,0.36229,0.47073,0.59158,0.53715,0.33734,0.57478,0.85908,1.9146,0.56319,0,4.75392e-05,4.75392e-05,4.75392e-05
78,19347.6,0.93679,1.3836,1.39044,0.88452,0,0.58026,0.6147,0.55721,0.36449,0.59849,0.57135,0.53641,0.33519,0.58207,0.87266,1.91433,0.55894,0,4.56384e-05,4.56384e-05,4.56384e-05
79,19519.3,0.97665,1.48136,1.36506,0.92521,0,0.59262,0.65328,0.58109,0.37837,0.56206,0.62567,0.5609,0.34371,0.5838,0.87359,1.85275,0.56599,0,4.37376e-05,4.37376e-05,4.37376e-05
80,19696.9,0.95997,1.4062,1.42451,0.9072,0,0.66778,0.60933,0.56864,0.37502,0.65791,0.59768,0.55548,0.34206,0.58247,0.87606,1.76161,0.56818,0,4.18368e-05,4.18368e-05,4.18368e-05
81,19875.2,0.96729,1.4141,1.41427,0.89905,0,0.6689,0.55736,0.58508,0.38497,0.66293,0.54668,0.57321,0.34339,0.57493,0.85416,1.75703,0.55574,0,3.9936e-05,3.9936e-05,3.9936e-05
82,20117,0.98292,1.40905,1.36478,0.90598,0,0.68018,0.60176,0.59442,0.39388,0.66538,0.57997,0.59381,0.35847,0.56441,0.85951,1.74935,0.55375,0,3.80352e-05,3.80352e-05,3.80352e-05
83,20412.1,0.91859,1.36394,1.30913,0.87351,0,0.61406,0.62679,0.58181,0.39223,0.59773,0.60209,0.55852,0.35415,0.55906,0.8548,1.76302,0.55389,0,3.61344e-05,3.61344e-05,3.61344e-05
84,20722.5,0.8978,1.34297,1.27765,0.86876,0,0.58696,0.66573,0.59138,0.39874,0.5782,0.63588,0.58791,0.36253,0.56616,0.85065,1.59541,0.56019,0,3.42336e-05,3.42336e-05,3.42336e-05
85,20922,0.90255,1.31375,1.28672,0.86756,0,0.55531,0.65742,0.60267,0.40481,0.54602,0.63837,0.6022,0.37217,0.57871,0.86737,1.61671,0.55705,0,3.23328e-05,3.23328e-05,3.23328e-05
86,21073.2,0.92274,1.37149,1.34658,0.87757,0,0.64896,0.61687,0.59587,0.39317,0.64463,0.5976,0.59052,0.35328,0.5751,0.85613,1.53764,0.55505,0,3.0432e-05,3.0432e-05,3.0432e-05
87,21249.3,0.87711,1.31233,1.22529,0.85654,0,0.59303,0.65074,0.61328,0.40754,0.58253,0.62741,0.60424,0.37364,0.58136,0.86222,1.60433,0.56053,0,2.85312e-05,2.85312e-05,2.85312e-05
88,21424.3,0.84354,1.31902,1.19022,0.85661,0,0.6206,0.6251,0.60209,0.40139,0.60609,0.60594,0.58787,0.36713,0.57302,0.85425,1.50081,0.56074,0,2.66304e-05,2.66304e-05,2.66304e-05
89,21600.2,0.90108,1.32923,1.24353,0.87845,0,0.60557,0.65445,0.61598,0.40526,0.58429,0.63328,0.60803,0.36966,0.57122,0.86419,1.57601,0.557,0,2.47296e-05,2.47296e-05,2.47296e-05
90,21798.6,0.94104,1.36598,1.31449,0.90641,0,0.62058,0.62896,0.60773,0.41492,0.59603,0.61227,0.60289,0.36961,0.56487,0.86682,1.60013,0.55205,0,2.28288e-05,2.28288e-05,2.28288e-05
91,22080.8,0.72402,1.04478,0.97535,0.74009,0,0.60304,0.60605,0.59818,0.40309,0.59034,0.5868,0.58797,0.36601,0.56548,0.88279,1.67651,0.5534,0,2.0928e-05,2.0928e-05,2.0928e-05
92,22228.1,0.7126,1.01658,0.94167,0.7335,0,0.54453,0.63125,0.59961,0.40808,0.56176,0.61476,0.60064,0.3723,0.56728,0.87348,1.62305,0.5526,0,1.90272e-05,1.90272e-05,1.90272e-05
93,22397.1,0.73036,1.02063,0.94328,0.75239,0,0.63624,0.61505,0.59817,0.40367,0.56599,0.61775,0.59577,0.36514,0.56454,0.86276,1.6643,0.55142,0,1.71264e-05,1.71264e-05,1.71264e-05
94,22565.8,0.69242,1.00636,0.89941,0.73275,0,0.6363,0.61064,0.63335,0.43821,0.61805,0.58598,0.62244,0.39138,0.56194,0.8645,1.7275,0.55082,0,1.52256e-05,1.52256e-05,1.52256e-05
95,22734,0.67925,0.98003,0.88617,0.70571,0,0.67106,0.59155,0.62334,0.43148,0.5573,0.63561,0.61751,0.38119,0.5555,0.86936,1.7051,0.54276,0,1.33248e-05,1.33248e-05,1.33248e-05
96,22900.6,0.70117,1.02407,0.93506,0.73094,0,0.66195,0.60986,0.62585,0.43135,0.55258,0.66139,0.62257,0.39027,0.5642,0.87908,1.63313,0.5479,0,1.1424e-05,1.1424e-05,1.1424e-05
97,23070.5,0.70063,0.9788,0.88923,0.73641,0,0.58502,0.6427,0.60945,0.42008,0.58654,0.63932,0.60303,0.37506,0.56112,0.87535,1.59266,0.54721,0,9.5232e-06,9.5232e-06,9.5232e-06
98,23242.3,0.72273,0.98483,0.9185,0.7496,0,0.67592,0.60338,0.61685,0.42114,0.62954,0.61609,0.60109,0.37883,0.56209,0.87536,1.59874,0.55127,0,7.6224e-06,7.6224e-06,7.6224e-06
99,23413.4,0.67109,0.97663,0.87686,0.71033,0,0.59959,0.64218,0.62466,0.42376,0.60327,0.63832,0.61906,0.38485,0.5634,0.87466,1.61764,0.55218,0,5.7216e-06,5.7216e-06,5.7216e-06
100,23584.4,0.66421,0.99184,0.86117,0.71401,0,0.6194,0.64544,0.63345,0.43404,0.61602,0.64648,0.61803,0.38965,0.56151,0.8713,1.6157,0.55061,0,3.8208e-06,3.8208e-06,3.8208e-06
